[DEBUG] 2019-10-15 18:56:15.720 [main] BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@33f98231
[DEBUG] 2019-10-15 18:56:15.721 [main] BasicTypeRegistry - Adding type registration text -> org.hibernate.type.TextType@74075134
[DEBUG] 2019-10-15 18:56:15.721 [main] BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.NTextType@7f8633ae
[DEBUG] 2019-10-15 18:56:15.722 [main] BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BlobType@238acd0b
[DEBUG] 2019-10-15 18:56:15.722 [main] BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@238acd0b
[DEBUG] 2019-10-15 18:56:15.723 [main] BasicTypeRegistry - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@f4c0e4e
[DEBUG] 2019-10-15 18:56:15.725 [main] BasicTypeRegistry - Adding type registration clob -> org.hibernate.type.ClobType@25c53f74
[DEBUG] 2019-10-15 18:56:15.725 [main] BasicTypeRegistry - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@25c53f74
[DEBUG] 2019-10-15 18:56:15.727 [main] BasicTypeRegistry - Adding type registration nclob -> org.hibernate.type.NClobType@7186333e
[DEBUG] 2019-10-15 18:56:15.727 [main] BasicTypeRegistry - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@7186333e
[DEBUG] 2019-10-15 18:56:15.727 [main] BasicTypeRegistry - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@1686f0b4
[DEBUG] 2019-10-15 18:56:15.727 [main] BasicTypeRegistry - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@7d0614f
[DEBUG] 2019-10-15 18:56:15.728 [main] BasicTypeRegistry - Adding type registration serializable -> org.hibernate.type.SerializableType@6eaa21d8
[DEBUG] 2019-10-15 18:56:15.731 [main] BasicTypeRegistry - Adding type registration object -> org.hibernate.type.ObjectType@58e92c23
[DEBUG] 2019-10-15 18:56:15.732 [main] BasicTypeRegistry - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@58e92c23
[DEBUG] 2019-10-15 18:56:15.732 [main] BasicTypeRegistry - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@376e7531
[DEBUG] 2019-10-15 18:56:15.732 [main] BasicTypeRegistry - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@23202c31
[DEBUG] 2019-10-15 18:56:15.732 [main] BasicTypeRegistry - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@5782d777
[DEBUG] 2019-10-15 18:56:15.732 [main] BasicTypeRegistry - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@4f824872
[DEBUG] 2019-10-15 18:56:15.732 [main] BasicTypeRegistry - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@b016b4e
[DEBUG] 2019-10-15 18:56:15.732 [main] BasicTypeRegistry - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@29629fbb
[DEBUG] 2019-10-15 18:56:15.733 [main] BasicTypeRegistry - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@681adc8f
[DEBUG] 2019-10-15 18:56:15.733 [main] BasicTypeRegistry - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@3506d826
[DEBUG] 2019-10-15 18:56:15.763 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
[DEBUG] 2019-10-15 18:56:15.763 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
[DEBUG] 2019-10-15 18:56:15.764 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid] -> [org.hibernate.id.UUIDHexGenerator]
[DEBUG] 2019-10-15 18:56:15.764 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid.hex] -> [org.hibernate.id.UUIDHexGenerator]
[DEBUG] 2019-10-15 18:56:15.765 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [assigned] -> [org.hibernate.id.Assigned]
[DEBUG] 2019-10-15 18:56:15.766 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [identity] -> [org.hibernate.id.IdentityGenerator]
[DEBUG] 2019-10-15 18:56:15.766 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [select] -> [org.hibernate.id.SelectGenerator]
[DEBUG] 2019-10-15 18:56:15.767 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
[DEBUG] 2019-10-15 18:56:15.768 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [seqhilo] -> [org.hibernate.id.SequenceHiLoGenerator]
[DEBUG] 2019-10-15 18:56:15.769 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [increment] -> [org.hibernate.id.IncrementGenerator]
[DEBUG] 2019-10-15 18:56:15.769 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [foreign] -> [org.hibernate.id.ForeignGenerator]
[DEBUG] 2019-10-15 18:56:15.770 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [sequence-identity] -> [org.hibernate.id.SequenceIdentityGenerator]
[DEBUG] 2019-10-15 18:56:15.770 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [enhanced-sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
[DEBUG] 2019-10-15 18:56:15.771 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [enhanced-table] -> [org.hibernate.id.enhanced.TableGenerator]
[INFO ] 2019-10-15 18:56:15.777 [main] C3P0ConnectionProvider - HHH010002: C3P0 using driver: com.mysql.cj.jdbc.Driver at URL: jdbc:mysql://localhost:3306/dqtravelspotsdb
[INFO ] 2019-10-15 18:56:15.778 [main] C3P0ConnectionProvider - HHH10001001: Connection properties: {password=****, user=root}
[INFO ] 2019-10-15 18:56:15.778 [main] C3P0ConnectionProvider - HHH10001003: Autocommit mode: false
[INFO ] 2019-10-15 18:56:15.893 [main] C3P0ConnectionProvider - HHH10001007: JDBC isolation level: <unknown>
[DEBUG] 2019-10-15 18:56:16.333 [main] JdbcEnvironmentInitiator - Database ->
       name : MySQL
    version : 8.0.17
      major : 8
      minor : 0
[DEBUG] 2019-10-15 18:56:16.336 [main] JdbcEnvironmentInitiator - Driver ->
       name : MySQL Connector/J
    version : mysql-connector-java-8.0.16 (Revision: 34cbc6bc61f72836e26327537a432d6db7c77de6)
      major : 8
      minor : 0
[DEBUG] 2019-10-15 18:56:16.336 [main] JdbcEnvironmentInitiator - JDBC version : 4.2
[INFO ] 2019-10-15 18:56:16.362 [main] Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
[DEBUG] 2019-10-15 18:56:16.380 [main] IdentifierHelperBuilder - JDBC driver metadata reported database stores quoted identifiers in more than one case
[DEBUG] 2019-10-15 18:56:16.413 [main] IdentifierHelperBuilder - IdentifierCaseStrategy for both quoted and unquoted identifiers was set to the same strategy [LOWER]; that will likely lead to problems in schema update and validation if using quoted identifiers
[DEBUG] 2019-10-15 18:56:16.447 [main] Namespace - Created database namespace [logicalName=Name{catalog=null, schema=null}, physicalName=Name{catalog=null, schema=null}]
[DEBUG] 2019-10-15 18:56:16.451 [main] TypeConfiguration$Scope - Scoping TypeConfiguration [org.hibernate.type.spi.TypeConfiguration@5f7989fa] to MetadataBuildingContext [org.hibernate.boot.internal.MetadataBuildingContextRootImpl@5bc28f40]
[DEBUG] 2019-10-15 18:56:16.504 [main] AnnotationBinder - Binding entity from annotated class: dqtravelspots.entity.User
[DEBUG] 2019-10-15 18:56:16.526 [main] Ejb3Column - Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
[DEBUG] 2019-10-15 18:56:16.531 [main] EntityBinder - Import with entity name User
[DEBUG] 2019-10-15 18:56:16.534 [main] EntityBinder - Bind entity dqtravelspots.entity.User on table user
[DEBUG] 2019-10-15 18:56:16.560 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(user), mappingColumn=id, insertable=true, updatable=true, unique=false}
[DEBUG] 2019-10-15 18:56:16.562 [main] PropertyBinder - MetadataSourceProcessor property id with lazy=false
[DEBUG] 2019-10-15 18:56:16.563 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [dqtravelspots.entity.User:id]
[DEBUG] 2019-10-15 18:56:16.565 [main] SimpleValueBinder - building SimpleValue for id
[DEBUG] 2019-10-15 18:56:16.568 [main] PropertyBinder - Building property id
[DEBUG] 2019-10-15 18:56:16.572 [main] BinderHelper - #makeIdGenerator(org.hibernate.mapping.SimpleValue([org.hibernate.mapping.Column(id)]), id, org.hibernate.id.enhanced.SequenceStyleGenerator, native, ...)
[DEBUG] 2019-10-15 18:56:16.575 [main] Ejb3Column - Binding column: Ejb3JoinColumn{logicalColumnName='null', referencedColumn='null', mappedBy='user'}
[DEBUG] 2019-10-15 18:56:16.575 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(user), mappingColumn=Usertrips, insertable=true, updatable=true, unique=false}
[DEBUG] 2019-10-15 18:56:16.577 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(user), mappingColumn=null, insertable=true, updatable=true, unique=false}
[DEBUG] 2019-10-15 18:56:16.585 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(user), mappingColumn=element, insertable=true, updatable=true, unique=false}
[DEBUG] 2019-10-15 18:56:16.585 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(user), mappingColumn=Usertrips_KEY, insertable=true, updatable=true, unique=false}
[DEBUG] 2019-10-15 18:56:16.586 [main] Ejb3Column - Binding column: Ejb3JoinColumn{logicalColumnName='Usertrips_KEY', referencedColumn='null', mappedBy='null'}
[DEBUG] 2019-10-15 18:56:16.587 [main] Ejb3Column - Binding column: Ejb3JoinColumn{logicalColumnName='null', referencedColumn='null', mappedBy='user'}
[DEBUG] 2019-10-15 18:56:16.587 [main] Ejb3Column - Binding column: Ejb3JoinColumn{logicalColumnName='null', referencedColumn='null', mappedBy='user'}
[DEBUG] 2019-10-15 18:56:16.587 [main] CollectionBinder - Collection role: dqtravelspots.entity.User.Usertrips
[DEBUG] 2019-10-15 18:56:16.590 [main] PropertyBinder - Building property Usertrips
[DEBUG] 2019-10-15 18:56:16.590 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(user), mappingColumn=date_registered, insertable=true, updatable=true, unique=false}
[DEBUG] 2019-10-15 18:56:16.590 [main] PropertyBinder - MetadataSourceProcessor property dateRegistered with lazy=false
[DEBUG] 2019-10-15 18:56:16.591 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [dqtravelspots.entity.User:dateRegistered]
[DEBUG] 2019-10-15 18:56:16.591 [main] SimpleValueBinder - building SimpleValue for dateRegistered
[DEBUG] 2019-10-15 18:56:16.591 [main] PropertyBinder - Building property dateRegistered
[DEBUG] 2019-10-15 18:56:16.591 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(user), mappingColumn=email, insertable=true, updatable=true, unique=false}
[DEBUG] 2019-10-15 18:56:16.591 [main] PropertyBinder - MetadataSourceProcessor property email with lazy=false
[DEBUG] 2019-10-15 18:56:16.591 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [dqtravelspots.entity.User:email]
[DEBUG] 2019-10-15 18:56:16.591 [main] SimpleValueBinder - building SimpleValue for email
[DEBUG] 2019-10-15 18:56:16.591 [main] PropertyBinder - Building property email
[DEBUG] 2019-10-15 18:56:16.591 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(user), mappingColumn=first_name, insertable=true, updatable=true, unique=false}
[DEBUG] 2019-10-15 18:56:16.591 [main] PropertyBinder - MetadataSourceProcessor property firstName with lazy=false
[DEBUG] 2019-10-15 18:56:16.591 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [dqtravelspots.entity.User:firstName]
[DEBUG] 2019-10-15 18:56:16.591 [main] SimpleValueBinder - building SimpleValue for firstName
[DEBUG] 2019-10-15 18:56:16.591 [main] PropertyBinder - Building property firstName
[DEBUG] 2019-10-15 18:56:16.591 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(user), mappingColumn=last_name, insertable=true, updatable=true, unique=false}
[DEBUG] 2019-10-15 18:56:16.592 [main] PropertyBinder - MetadataSourceProcessor property lastName with lazy=false
[DEBUG] 2019-10-15 18:56:16.592 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [dqtravelspots.entity.User:lastName]
[DEBUG] 2019-10-15 18:56:16.592 [main] SimpleValueBinder - building SimpleValue for lastName
[DEBUG] 2019-10-15 18:56:16.592 [main] PropertyBinder - Building property lastName
